iter	Logloss
0	0.5629103442
1	0.4641922908
2	0.3919475797
3	0.3225122787
4	0.270785227
5	0.2293340956
6	0.1978293287
7	0.1715901368
8	0.1514591953
9	0.1289192939
10	0.1117007841
11	0.09355802528
12	0.08216297608
13	0.07233899068
14	0.06501688521
15	0.05756586439
16	0.05216027229
17	0.04822370892
18	0.04379399879
19	0.04041117008
20	0.03575402208
21	0.03337321374
22	0.03015258815
23	0.02718180827
24	0.02518656897
25	0.023677453
26	0.02232206706
27	0.02040865735
28	0.01893222807
29	0.01714267176
30	0.0162798122
31	0.01502515798
32	0.01446292182
33	0.01331743272
34	0.01238823964
35	0.01192814675
36	0.01127651987
37	0.01056147889
38	0.01001662007
39	0.009693477336
40	0.009246634978
41	0.009092135009
42	0.008893341335
43	0.008471227914
44	0.008199907987
45	0.007943532832
46	0.00767040412
47	0.007399658739
48	0.007116345738
49	0.006788162282
50	0.006578072547
51	0.006391303985
52	0.006252887555
53	0.005954604865
54	0.005712061279
55	0.005602377414
56	0.005463952483
57	0.005329713939
58	0.005171160815
59	0.005018516266
60	0.004888242573
61	0.004756773836
62	0.004593946092
63	0.004442103112
64	0.004328181879
65	0.004242151052
66	0.004135855889
67	0.004055283196
68	0.003930185919
69	0.003861062628
70	0.003779643155
71	0.003716711397
72	0.003679688972
73	0.003607586899
74	0.003533882601
75	0.003419002574
76	0.003353742599
77	0.003270350013
78	0.003213260627
79	0.003129686834
80	0.00305801464
81	0.003023138158
82	0.002975916977
83	0.002934904504
84	0.002869866757
85	0.002816572884
86	0.002776917987
87	0.002727019185
88	0.002697311145
89	0.002669592512
90	0.002641773989
91	0.002604275387
92	0.00255006233
93	0.002523135549
94	0.002503543032
95	0.002449765251
96	0.002389606505
97	0.002370179967
98	0.002347393299
99	0.002301375024
